company,role,linkedin_url
Cross Company,Project Manager,https://www.linkedin.com/in/kim-howell-80116511b
Cross Company,Project Manager,https://www.linkedin.com/in/kim-frack-a9464a39
Cross Company,Project Manager,https://www.linkedin.com/in/ron-raimondi-0b332231
Cross Company,Project Manager,https://www.linkedin.com/in/albert-petersen-20089911
Cross Company,Project Manager,https://www.linkedin.com/in/diane-majestic-pmp-885858121
Cross Company,Project Manager,https://www.linkedin.com/in/ronald-raimondi-590724340
Cross Company,Project Manager,https://www.linkedin.com/in/paul-jankowski-901468a9
Cross Company,Project Manager,https://www.linkedin.com/in/todd-barnette-42386064
Cross Company,Project Manager,https://il.linkedin.com/in/tamar-avidan-b4b4b8a1
Cross Company,Project Manager,https://www.linkedin.com/in/randy-jones-96212921
